"id";"cpuPercent";"cpuFreq";"ramPercent";"ramBytes";"discoPercent";"discoBytes";"downloadMbps";"uploadMbps";"dataHora"
737;5.9;2304.0;83.0;6967287808.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
738;6.2;2304.0;83.0;6967500800.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
739;11.1;2304.0;83.0;6968553472.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
740;7.4;2304.0;83.0;6969040896.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
741;5.9;2304.0;83.0;6969040896.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
742;5.3;2304.0;83.0;6969110528.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
743;7.1;2304.0;83.0;6969401344.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
744;5.0;2304.0;83.0;6969958400.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
745;6.2;2304.0;83.0;6970032128.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
746;11.5;2304.0;83.0;6970310656.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
747;5.6;2304.0;83.0;6970798080.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
748;5.0;2304.0;83.0;6970802176.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
749;6.2;2304.0;83.0;6971568128.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
750;6.2;2304.0;83.0;6971990016.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
751;7.7;2304.0;83.0;6972547072.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
752;18.8;2304.0;83.0;6972895232.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
753;4.3;2304.0;83.0;6972928000.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
754;12.5;2304.0;83.0;6973689856.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
755;6.2;2304.0;83.0;6973923328.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
756;18.8;2304.0;83.0;6974623744.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
757;4.2;2304.0;83.0;6975250432.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
758;5.0;2304.0;83.0;6975668224.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
759;5.0;2304.0;83.0;6975729664.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
760;29.4;2304.0;83.0;6981201920.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
761;6.2;2304.0;83.0;6981201920.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
762;6.2;2304.0;83.0;6981140480.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
763;15.4;2304.0;83.0;6980395008.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
764;4.5;2304.0;83.0;6980399104.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
765;6.2;2304.0;83.0;6980329472.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
766;18.8;2304.0;83.0;6980329472.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
767;12.5;2304.0;83.0;6980329472.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
768;14.8;2304.0;83.0;6980329472.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
769;5.6;2304.0;83.0;6980263936.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
770;5.3;2304.0;83.0;6978719744.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
771;17.6;2304.0;83.0;6978580480.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
772;6.2;2304.0;83.0;6978580480.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
773;12.5;2304.0;83.0;6978584576.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
774;4.2;2304.0;83.0;6978568192.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
775;6.2;2304.0;83.0;6978560000.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
776;17.6;2304.0;83.0;6978568192.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
777;12.5;2304.0;83.0;6978568192.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
778;10.7;2304.0;83.0;6978568192.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
779;14.3;2304.0;83.0;6978568192.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
780;11.8;2304.0;83.0;6978482176.0;41.0;211107594240.0;724.84;33.65;"2025-04-09 12:54:19"
781;6.2;2304.0;83.0;6978486272.0;41.0;211107610624.0;724.84;33.65;"2025-04-09 12:54:19"
782;6.2;2304.0;83.0;6978486272.0;41.0;211107610624.0;724.84;33.65;"2025-04-09 12:54:19"
783;4.8;2304.0;83.0;6978486272.0;41.0;211107610624.0;724.84;33.65;"2025-04-09 12:54:19"
784;3.7;2304.0;83.0;6978445312.0;41.0;211107610624.0;724.84;33.65;"2025-04-09 12:54:19"
785;6.2;2304.0;83.0;6978449408.0;41.0;211107610624.0;724.84;33.65;"2025-04-09 12:54:19"
786;18.8;2304.0;83.0;6978449408.0;41.0;211107610624.0;724.84;33.65;"2025-04-09 12:54:19"
787;18.8;2304.0;83.0;6978453504.0;41.0;211107610624.0;724.84;33.65;"2025-04-09 12:54:19"
788;7.4;2304.0;83.0;6978457600.0;41.0;211107610624.0;724.84;33.65;"2025-04-09 12:54:20"
